date,year,month,trad_9,cont_9,kids_11,trad_11,cont_11,boxcast_9,youtube_9,facebook_9,boxcast_11,youtube_11,facebook_11,in_person,online,total,is_snow,is_easter,is_christmas_eve,exclude_from_averages,notes
2021-07-11,2021,7,71,96,0,149,149,20,89,21,48,75,14,465,267,732,false,false,false,false,
2021-07-18,2021,7,86,87,0,143,152,58,80,19,52,66,16,468,291,759,false,false,false,false,
2021-07-25,2021,7,83,64,0,153,190,66,76,25,42,96,17,490,322,812,false,false,false,false,
2021-08-01,2021,8,94,110,0,159,116,9,57,0,61,11,24,479,162,641,false,false,false,false,
2021-08-08,2021,8,90,107,66,121,204,56,74,27,63,76,22,588,318,906,false,false,false,false,
2021-08-15,2021,8,83,88,47,146,186,56,67,26,52,105,21,550,327,877,false,false,false,false,
2021-08-22,2021,8,78,116,33,119,168,77,71,21,62,78,24,514,333,847,false,false,false,false,
2021-08-29,2021,8,77,72,20,111,96,68,102,19,70,133,19,376,411,787,false,false,false,false,
2021-09-05,2021,9,74,71,19,91,119,47,49,26,54,79,31,374,286,660,false,false,false,false,
2021-09-12,2021,9,87,67,27,116,125,64,85,21,64,81,23,422,338,760,false,false,false,false,
2021-09-19,2021,9,84,70,26,117,149,55,75,28,64,92,21,446,335,781,false,false,false,false,
2021-09-26,2021,9,86,57,34,105,129,56,109,26,57,75,14,411,337,748,false,false,false,false,
2021-10-03,2021,10,87,146,19,68,111,1,113,24,78,118,24,431,358,789,false,false,false,false,
2021-10-10,2021,10,75,62,15,106,128,67,98,19,48,98,21,386,351,737,false,false,false,false,
2021-10-17,2021,10,65,69,18,103,106,44,42,26,55,54,14,361,235,596,false,false,false,false,
2021-10-24,2021,10,78,81,26,111,122,47,71,25,47,83,16,418,289,707,false,false,false,false,
2021-10-31,2021,10,78,91,33,130,114,41,9,17,53,17,13,446,150,596,false,false,false,false,
2021-11-07,2021,11,96,84,21,125,110,57,114,23,47,93,28,436,362,798,false,false,false,false,
2021-11-14,2021,11,86,84,30,113,161,57,54,23,53,67,17,474,271,745,false,false,false,false,
2021-11-21,2021,11,99,103,20,140,145,0,15,0,48,22,18,507,103,610,false,false,false,false,
2021-11-28,2021,11,139,58,26,72,167,63,22,23,66,12,20,462,206,668,false,false,false,false,
2021-12-05,2021,12,98,88,49,134,161,57,18,0,57,16,0,530,148,678,false,false,false,false,
2021-12-12,2021,12,101,91,42,126,222,52,9,14,51,9,0,582,135,717,false,false,false,false,
2021-12-19,2021,12,110,102,33,147,165,28,0,23,16,6,0,557,73,630,false,false,false,false,
